test,biterror1,biterror2,acc
0.0,0.0009765625,0.0009765625,0.8542099192618223
0.0,0.001953125,0.001953125,0.8519031141868512
0.0,0.00390625,0.00390625,0.8479815455594002
0.0,0.0078125,0.0078125,0.8327566320645905
0.0,0.0104166666666666,0.0104166666666666,0.8274509803921568
0.0,0.0130208333333333,0.0130208333333333,0.8198385236447521
0.0,0.015625,0.015625,0.8152249134948096
0.0,0.0208333333333333,0.0208333333333333,0.7967704728950403
0.0,0.0260416666666666,0.0260416666666666,0.7854671280276817
0.0,0.03125,0.03125,0.7727797001153403
0.0,0.0416666666666666,0.0416666666666666,0.754555940023068
0.0,0.0520833333333333,0.0520833333333333,0.7328719723183391
0.0,0.0625,0.0625,0.7264129181084198
0.0,0.07,0.07,0.7153402537485583
1.0,0.0009765625,0.0009765625,0.8516724336793541
1.0,0.001953125,0.001953125,0.8532871972318339
1.0,0.00390625,0.00390625,0.8445213379469435
1.0,0.0078125,0.0078125,0.8322952710495963
1.0,0.0104166666666666,0.0104166666666666,0.8253748558246828
1.0,0.0130208333333333,0.0130208333333333,0.823760092272203
1.0,0.015625,0.015625,0.8099192618223761
1.0,0.0208333333333333,0.0208333333333333,0.7976931949250289
1.0,0.0260416666666666,0.0260416666666666,0.7859284890426759
1.0,0.03125,0.03125,0.7787773933102653
1.0,0.0416666666666666,0.0416666666666666,0.7561707035755478
1.0,0.0520833333333333,0.0520833333333333,0.7418685121107267
1.0,0.0625,0.0625,0.7301038062283737
1.0,0.07,0.07,0.7162629757785467
2.0,0.0009765625,0.0009765625,0.8576701268742791
2.0,0.001953125,0.001953125,0.8521337946943484
2.0,0.00390625,0.00390625,0.8461361014994233
2.0,0.0078125,0.0078125,0.8392156862745098
2.0,0.0104166666666666,0.0104166666666666,0.829757785467128
2.0,0.0130208333333333,0.0130208333333333,0.8182237600922722
2.0,0.015625,0.015625,0.8092272202998847
2.0,0.0208333333333333,0.0208333333333333,0.7953863898500577
2.0,0.0260416666666666,0.0260416666666666,0.7877739331026529
2.0,0.03125,0.03125,0.774163783160323
2.0,0.0416666666666666,0.0416666666666666,0.7540945790080739
2.0,0.0520833333333333,0.0520833333333333,0.7349480968858132
2.0,0.0625,0.0625,0.7178777393310265
2.0,0.07,0.07,0.7245674740484429
3.0,0.0009765625,0.0009765625,0.8530565167243368
3.0,0.001953125,0.001953125,0.8542099192618223
3.0,0.00390625,0.00390625,0.845444059976932
3.0,0.0078125,0.0078125,0.831603229527105
3.0,0.0104166666666666,0.0104166666666666,0.8226066897347174
3.0,0.0130208333333333,0.0130208333333333,0.8094579008073818
3.0,0.015625,0.015625,0.8085351787773933
3.0,0.0208333333333333,0.0208333333333333,0.7997693194925029
3.0,0.0260416666666666,0.0260416666666666,0.7799307958477508
3.0,0.03125,0.03125,0.7711649365628604
3.0,0.0416666666666666,0.0416666666666666,0.7510957324106113
3.0,0.0520833333333333,0.0520833333333333,0.7377162629757785
3.0,0.0625,0.0625,0.7291810841983852
3.0,0.07,0.07,0.7139561707035755
4.0,0.0009765625,0.0009765625,0.8583621683967705
4.0,0.001953125,0.001953125,0.8519031141868512
4.0,0.00390625,0.00390625,0.8445213379469435
4.0,0.0078125,0.0078125,0.8304498269896193
4.0,0.0104166666666666,0.0104166666666666,0.8299884659746252
4.0,0.0130208333333333,0.0130208333333333,0.8156862745098039
4.0,0.015625,0.015625,0.8136101499423298
4.0,0.0208333333333333,0.0208333333333333,0.8029988465974626
4.0,0.0260416666666666,0.0260416666666666,0.7817762399077278
4.0,0.03125,0.03125,0.7843137254901961
4.0,0.0416666666666666,0.0416666666666666,0.7529411764705882
4.0,0.0520833333333333,0.0520833333333333,0.7388696655132642
4.0,0.0625,0.0625,0.7153402537485583
4.0,0.07,0.07,0.7236447520184545
5.0,0.0009765625,0.0009765625,0.8516724336793541
5.0,0.001953125,0.001953125,0.8532871972318339
5.0,0.00390625,0.00390625,0.8445213379469435
5.0,0.0078125,0.0078125,0.8322952710495963
5.0,0.010416666666666666,0.010416666666666666,0.8253748558246828
5.0,0.013020833333333334,0.013020833333333334,0.823760092272203
5.0,0.015625,0.015625,0.8099192618223761
5.0,0.020833333333333332,0.020833333333333332,0.7976931949250289
5.0,0.026041666666666668,0.026041666666666668,0.7859284890426759
5.0,0.03125,0.03125,0.7787773933102653
5.0,0.041666666666666664,0.041666666666666664,0.7561707035755478
5.0,0.052083333333333336,0.052083333333333336,0.7418685121107267
5.0,0.0625,0.0625,0.7301038062283737
5.0,0.07,0.07,0.7162629757785467
6.0,0.0009765625,0.0009765625,0.8576701268742791
6.0,0.001953125,0.001953125,0.8521337946943484
6.0,0.00390625,0.00390625,0.8461361014994233
6.0,0.0078125,0.0078125,0.8392156862745098
6.0,0.010416666666666666,0.010416666666666666,0.829757785467128
6.0,0.013020833333333334,0.013020833333333334,0.8182237600922722
6.0,0.015625,0.015625,0.8092272202998847
6.0,0.020833333333333332,0.020833333333333332,0.7953863898500577
6.0,0.026041666666666668,0.026041666666666668,0.7877739331026529
6.0,0.03125,0.03125,0.774163783160323
6.0,0.041666666666666664,0.041666666666666664,0.7540945790080739
6.0,0.052083333333333336,0.052083333333333336,0.7349480968858132
6.0,0.0625,0.0625,0.7178777393310265
6.0,0.07,0.07,0.7245674740484429
7.0,0.0009765625,0.0009765625,0.8530565167243368
7.0,0.001953125,0.001953125,0.8542099192618223
7.0,0.00390625,0.00390625,0.845444059976932
7.0,0.0078125,0.0078125,0.831603229527105
7.0,0.010416666666666666,0.010416666666666666,0.8226066897347174
7.0,0.013020833333333334,0.013020833333333334,0.8094579008073818
7.0,0.015625,0.015625,0.8085351787773933
7.0,0.020833333333333332,0.020833333333333332,0.7997693194925029
7.0,0.026041666666666668,0.026041666666666668,0.7799307958477508
7.0,0.03125,0.03125,0.7711649365628604
7.0,0.041666666666666664,0.041666666666666664,0.7510957324106113
7.0,0.052083333333333336,0.052083333333333336,0.7377162629757785
7.0,0.0625,0.0625,0.7291810841983852
7.0,0.07,0.07,0.7139561707035755
8.0,0.0009765625,0.0009765625,0.8583621683967705
8.0,0.001953125,0.001953125,0.8519031141868512
8.0,0.00390625,0.00390625,0.8445213379469435
8.0,0.0078125,0.0078125,0.8304498269896193
8.0,0.010416666666666666,0.010416666666666666,0.8299884659746252
8.0,0.013020833333333334,0.013020833333333334,0.8156862745098039
8.0,0.015625,0.015625,0.8136101499423298
8.0,0.020833333333333332,0.020833333333333332,0.8029988465974626
8.0,0.026041666666666668,0.026041666666666668,0.7817762399077278
8.0,0.03125,0.03125,0.7843137254901961
8.0,0.041666666666666664,0.041666666666666664,0.7529411764705882
8.0,0.052083333333333336,0.052083333333333336,0.7388696655132642
8.0,0.0625,0.0625,0.7153402537485583
8.0,0.07,0.07,0.7236447520184545
9.0,0.0009765625,0.0009765625,0.8537485582468282
9.0,0.001953125,0.001953125,0.847520184544406
9.0,0.00390625,0.00390625,0.8435986159169551
9.0,0.0078125,0.0078125,0.8334486735870819
9.0,0.010416666666666666,0.010416666666666666,0.8281430219146482
9.0,0.013020833333333334,0.013020833333333334,0.8182237600922722
9.0,0.015625,0.015625,0.81199538638985
9.0,0.020833333333333332,0.020833333333333332,0.8034602076124567
9.0,0.026041666666666668,0.026041666666666668,0.7797001153402537
9.0,0.03125,0.03125,0.7769319492502883
9.0,0.041666666666666664,0.041666666666666664,0.7529411764705882
9.0,0.052083333333333336,0.052083333333333336,0.7391003460207612
9.0,0.0625,0.0625,0.7254901960784313
9.0,0.07,0.07,0.7139561707035755
